Group,Year,County,Enrollment
American Indialaska Native Students,2006,SAN LUIS OBISPO COUNTY,238
American Indialaska Native Students,2006,SAN MATEO COUNTY,320
American Indialaska Native Students,2006,SANTA BARBARA COUNTY,578
American Indialaska Native Students,2006,SANTA CLARA COUNTY,1200
American Indialaska Native Students,2006,SANTA CRUZ COUNTY,155
American Indialaska Native Students,2006,SHASTA COUNTY,1610
American Indialaska Native Students,2006,SIERRA COUNTY,14
American Indialaska Native Students,2006,SISKIYOU COUNTY,412
American Indialaska Native Students,2006,SOLANO COUNTY,570
American Indialaska Native Students,2006,SONOMA COUNTY,959
American Indialaska Native Students,2006,STANISLAUS COUNTY,937
American Indialaska Native Students,2006,SUTTER COUNTY,265
American Indialaska Native Students,2006,TEHAMA COUNTY,256
American Indialaska Native Students,2006,TRINITY COUNTY,199
American Indialaska Native Students,2006,TULARE COUNTY,1052
American Indialaska Native Students,2006,TUOLUMNE COUNTY,230
American Indialaska Native Students,2006,VENTURA COUNTY,988
American Indialaska Native Students,2006,YOLO COUNTY,308
American Indialaska Native Students,2006,YUBA COUNTY,595
American Indialaska Native Students,2005,ALAMEDA COUNTY,1136
American Indialaska Native Students,2005,ALPINE COUNTY,61
American Indialaska Native Students,2005,AMADOR COUNTY,187
American Indialaska Native Students,2005,BUTTE COUNTY,1029
American Indialaska Native Students,2005,CALAVERAS COUNTY,163
American Indialaska Native Students,2005,COLUSA COUNTY,70
American Indialaska Native Students,2005,CONTRA COSTA COUNTY,982
American Indialaska Native Students,2005,DEL NORTE COUNTY,738
American Indialaska Native Students,2005,EL DORADO COUNTY,481
American Indialaska Native Students,2005,FRESNO COUNTY,1659
American Indialaska Native Students,2005,GLENN COUNTY,139
American Indialaska Native Students,2005,HUMBOLDT COUNTY,2474
American Indialaska Native Students,2005,IMPERIAL COUNTY,437
American Indialaska Native Students,2005,INYO COUNTY,504
American Indialaska Native Students,2005,KERN COUNTY,1341
American Indialaska Native Students,2005,KINGS COUNTY,384
American Indialaska Native Students,2005,LAKE COUNTY,508
American Indialaska Native Students,2005,LASSEN COUNTY,288
American Indialaska Native Students,2005,LOS ANGELES COUNTY,4913
American Indialaska Native Students,2005,MADERA COUNTY,444
American Indialaska Native Students,2005,MARIN COUNTY,92
American Indialaska Native Students,2005,MARIPOSA COUNTY,128
American Indialaska Native Students,2005,MENDOCINO COUNTY,1233
American Indialaska Native Students,2005,MERCED COUNTY,228
American Indialaska Native Students,2005,MODOC COUNTY,123
American Indialaska Native Students,2005,MONO COUNTY,51
American Indialaska Native Students,2005,MONTEREY COUNTY,301
American Indialaska Native Students,2005,NAPA COUNTY,220
American Indialaska Native Students,2005,NEVADA COUNTY,265
